iter,norm(d0-d)^2,gradient norm,,,,
273,1405.4,11.693,-10.165,4.8432,1.3759,2.8376
274,1402.5,11.67,-10.146,4.8331,1.3694,2.8322
275,1399.5,11.648,-10.127,4.8231,1.3629,2.8268
276,1396.5,11.625,-10.108,4.8131,1.3564,2.8214
277,1393.5,11.603,-10.09,4.8032,1.35,2.8161
278,1390.6,11.58,-10.071,4.7932,1.3436,2.8107
279,1387.7,11.558,-10.052,4.7833,1.3372,2.8054
280,1384.7,11.536,-10.034,4.7734,1.3308,2.8001
281,1381.8,11.513,-10.015,4.7635,1.3244,2.7948
282,1378.9,11.491,-9.9968,4.7537,1.318,2.7896
283,1376,11.469,-9.9784,4.7439,1.3117,2.7843
284,1373.2,11.447,-9.96,4.7341,1.3053,2.7791
285,1370.3,11.425,-9.9416,4.7243,1.299,2.7739
286,1367.4,11.403,-9.9233,4.7146,1.2927,2.7687
287,1364.6,11.381,-9.905,4.7049,1.2864,2.7635
288,1361.8,11.36,-9.8868,4.6952,1.2801,2.7583
289,1358.9,11.338,-9.8686,4.6855,1.2739,2.7532
290,1356.1,11.316,-9.8505,4.6759,1.2676,2.748
291,1353.3,11.294,-9.8324,4.6663,1.2614,2.7429
292,1350.5,11.273,-9.8143,4.6567,1.2552,2.7378
293,1347.7,11.251,-9.7963,4.6472,1.249,2.7327
294,1345,11.23,-9.7784,4.6376,1.2428,2.7276
295,1342.2,11.208,-9.7604,4.6281,1.2366,2.7226
296,1339.5,11.187,-9.7426,4.6186,1.2305,2.7176
297,1336.7,11.166,-9.7247,4.6092,1.2243,2.7125
298,1334,11.144,-9.7069,4.5997,1.2182,2.7075
299,1331.3,11.123,-9.6892,4.5903,1.2121,2.7025
300,1328.6,11.102,-9.6715,4.5809,1.206,2.6976
301,1325.9,11.081,-9.6538,4.5716,1.1999,2.6926
302,1323.2,11.06,-9.6362,4.5622,1.1938,2.6876
303,1320.5,11.039,-9.6186,4.5529,1.1878,2.6827
304,1317.8,11.018,-9.601,4.5436,1.1817,2.6778
305,1315.2,10.997,-9.5835,4.5344,1.1757,2.6729
306,1312.5,10.976,-9.5661,4.5251,1.1697,2.668
307,1309.9,10.955,-9.5486,4.5159,1.1637,2.6631
308,1307.3,10.934,-9.5313,4.5067,1.1577,2.6583
309,1304.7,10.914,-9.5139,4.4975,1.1517,2.6535
310,1302,10.893,-9.4966,4.4884,1.1458,2.6486
311,1299.5,10.873,-9.4794,4.4793,1.1398,2.6438
312,1296.9,10.852,-9.4621,4.4702,1.1339,2.639
313,1294.3,10.831,-9.445,4.4611,1.128,2.6342
314,1291.7,10.811,-9.4278,4.452,1.1221,2.6295
315,1289.2,10.791,-9.4107,4.443,1.1162,2.6247
316,1286.6,10.77,-9.3937,4.434,1.1103,2.62
317,1284.1,10.75,-9.3767,4.425,1.1045,2.6153
318,1281.5,10.73,-9.3597,4.416,1.0986,2.6106
319,1279,10.71,-9.3427,4.4071,1.0928,2.6059
320,1276.5,10.689,-9.3258,4.3982,1.087,2.6012
321,1274,10.669,-9.309,4.3893,1.0812,2.5965
322,1271.5,10.649,-9.2922,4.3804,1.0754,2.5919
323,1269,10.629,-9.2754,4.3716,1.0696,2.5872
324,1266.6,10.609,-9.2586,4.3627,1.0638,2.5826
325,1264.1,10.589,-9.2419,4.3539,1.0581,2.578
326,1261.6,10.57,-9.2253,4.3452,1.0523,2.5734
327,1259.2,10.55,-9.2086,4.3364,1.0466,2.5688
328,1256.8,10.53,-9.1921,4.3277,1.0409,2.5643
329,1254.3,10.51,-9.1755,4.3189,1.0352,2.5597
330,1251.9,10.491,-9.159,4.3103,1.0295,2.5552
331,1249.5,10.471,-9.1425,4.3016,1.0238,2.5507
332,1247.1,10.452,-9.1261,4.2929,1.0182,2.5462
333,1244.7,10.432,-9.1097,4.2843,1.0125,2.5417
334,1242.3,10.413,-9.0933,4.2757,1.0069,2.5372
335,1240,10.393,-9.077,4.2671,1.0013,2.5327
336,1237.6,10.374,-9.0607,4.2586,0.99566,2.5283
337,1235.2,10.354,-9.0445,4.25,0.99007,2.5238
338,1232.9,10.335,-9.0283,4.2415,0.98449,2.5194
339,1230.6,10.316,-9.0121,4.233,0.97892,2.515
340,1228.2,10.297,-8.996,4.2245,0.97336,2.5106
341,1225.9,10.278,-8.9799,4.2161,0.96782,2.5062
342,1223.6,10.259,-8.9638,4.2076,0.96228,2.5018
343,1221.3,10.24,-8.9478,4.1992,0.95677,2.4974
344,1219,10.221,-8.9318,4.1908,0.95126,2.4931
345,1216.7,10.202,-8.9159,4.1825,0.94577,2.4888
346,1214.4,10.183,-8.9,4.1741,0.94029,2.4844
347,1212.2,10.164,-8.8841,4.1658,0.93482,2.4801
348,1209.9,10.145,-8.8683,4.1575,0.92936,2.4758
349,1207.7,10.126,-8.8525,4.1492,0.92392,2.4715
350,1205.4,10.108,-8.8367,4.1409,0.91849,2.4673
351,1203.2,10.089,-8.821,4.1327,0.91307,2.463
352,1200.9,10.07,-8.8053,4.1244,0.90767,2.4588
353,1198.7,10.052,-8.7896,4.1162,0.90227,2.4545
354,1196.5,10.033,-8.774,4.1081,0.89689,2.4503
355,1194.3,10.015,-8.7584,4.0999,0.89152,2.4461
356,1192.1,9.9964,-8.7428,4.0918,0.88617,2.4419
357,1189.9,9.978,-8.7273,4.0836,0.88082,2.4377
358,1187.7,9.9597,-8.7119,4.0755,0.87549,2.4335
359,1185.6,9.9413,-8.6964,4.0674,0.87017,2.4294
360,1183.4,9.9231,-8.681,4.0594,0.86486,2.4252
361,1181.3,9.9049,-8.6656,4.0513,0.85957,2.4211
362,1179.1,9.8867,-8.6503,4.0433,0.85428,2.417
363,1177,9.8686,-8.635,4.0353,0.84901,2.4129
364,1174.8,9.8505,-8.6197,4.0273,0.84375,2.4088
365,1172.7,9.8325,-8.6045,4.0194,0.83851,2.4047
366,1170.6,9.8145,-8.5893,4.0114,0.83327,2.4006
367,1168.5,9.7965,-8.5741,4.0035,0.82805,2.3965
368,1166.4,9.7787,-8.559,3.9956,0.82284,2.3925
369,1164.3,9.7608,-8.5439,3.9877,0.81764,2.3884
370,1162.2,9.7429,-8.5288,3.9798,0.81245,2.3844
371,1160.1,9.7252,-8.5138,3.972,0.80727,2.3804
372,1158.1,9.7075,-8.4988,3.9642,0.80211,2.3764
373,1156,9.6897,-8.4838,3.9563,0.79695,2.3724
374,1153.9,9.6721,-8.4689,3.9486,0.79181,2.3684
375,1151.9,9.6545,-8.454,3.9408,0.78668,2.3644
376,1149.9,9.6369,-8.4391,3.933,0.78157,2.3605
377,1147.8,9.6194,-8.4243,3.9253,0.77646,2.3565
378,1145.8,9.6019,-8.4095,3.9176,0.77136,2.3526
379,1143.8,9.5845,-8.3948,3.9099,0.76628,2.3487
380,1141.8,9.5671,-8.38,3.9022,0.76121,2.3448
381,1139.8,9.5498,-8.3653,3.8946,0.75615,2.3409
382,1137.8,9.5325,-8.3507,3.8869,0.7511,2.337
383,1135.8,9.5151,-8.336,3.8793,0.74606,2.3331
384,1133.8,9.4979,-8.3214,3.8717,0.74104,2.3292
385,1131.8,9.4808,-8.3069,3.8641,0.73602,2.3254
386,1129.9,9.4635,-8.2923,3.8565,0.73102,2.3215
387,1127.9,9.4465,-8.2779,3.849,0.72603,2.3177
388,1125.9,9.4295,-8.2634,3.8415,0.72105,2.3139
389,1124,9.4125,-8.249,3.834,0.71608,2.3101
390,1122.1,9.3955,-8.2346,3.8265,0.71112,2.3063
391,1120.1,9.3785,-8.2202,3.819,0.70617,2.3025
392,1118.2,9.3615,-8.2058,3.8115,0.70123,2.2987
393,1116.3,9.3447,-8.1915,3.8041,0.69631,2.2949
394,1114.4,9.328,-8.1773,3.7967,0.69139,2.2912
395,1112.5,9.3111,-8.163,3.7893,0.68649,2.2874
396,1110.6,9.2944,-8.1488,3.7819,0.6816,2.2837
397,1108.7,9.2777,-8.1346,3.7745,0.67672,2.28
398,1106.8,9.261,-8.1205,3.7672,0.67185,2.2762
399,1104.9,9.2444,-8.1064,3.7599,0.66699,2.2725
400,1103,9.2278,-8.0923,3.7525,0.66214,2.2688
401,1101.2,9.2112,-8.0782,3.7452,0.6573,2.2652
402,1099.3,9.1948,-8.0642,3.738,0.65248,2.2615
403,1097.5,9.1783,-8.0502,3.7307,0.64766,2.2578
404,1095.6,9.1619,-8.0363,3.7235,0.64285,2.2542
405,1093.8,9.1455,-8.0223,3.7162,0.63806,2.2505
406,1092,9.1291,-8.0084,3.709,0.63328,2.2469
407,1090.1,9.1129,-7.9946,3.7018,0.6285,2.2433
408,1088.3,9.0966,-7.9807,3.6947,0.62374,2.2397
409,1086.5,9.0803,-7.9669,3.6875,0.61899,2.2361
410,1084.7,9.0642,-7.9532,3.6804,0.61425,2.2325
411,1082.9,9.048,-7.9394,3.6732,0.60952,2.2289
412,1081.1,9.0319,-7.9257,3.6661,0.6048,2.2253
413,1079.3,9.0158,-7.912,3.6591,0.60009,2.2218
414,1077.5,8.9998,-7.8984,3.652,0.59539,2.2182
415,1075.8,8.9837,-7.8847,3.6449,0.5907,2.2147
416,1074,8.9679,-7.8712,3.6379,0.58602,2.2111
417,1072.2,8.9519,-7.8576,3.6309,0.58136,2.2076
418,1070.5,8.9361,-7.8441,3.6239,0.5767,2.2041
419,1068.7,8.9202,-7.8306,3.6169,0.57205,2.2006
420,1067,8.9044,-7.8171,3.6099,0.56742,2.1971
421,1065.3,8.8886,-7.8036,3.603,0.56279,2.1936
422,1063.5,8.8728,-7.7902,3.596,0.55817,2.1902
423,1061.8,8.8571,-7.7768,3.5891,0.55357,2.1867
424,1060.1,8.8415,-7.7635,3.5822,0.54897,2.1832
425,1058.4,8.8259,-7.7502,3.5753,0.54439,2.1798
426,1056.7,8.8103,-7.7369,3.5684,0.53981,2.1764
427,1055,8.7947,-7.7236,3.5616,0.53525,2.1729
428,1053.3,8.7791,-7.7103,3.5547,0.53069,2.1695
429,1051.6,8.7637,-7.6971,3.5479,0.52615,2.1661
430,1049.9,8.7483,-7.684,3.5411,0.52161,2.1627
431,1048.2,8.7328,-7.6708,3.5343,0.51709,2.1593
432,1046.6,8.7175,-7.6577,3.5275,0.51257,2.156
433,1044.9,8.7022,-7.6446,3.5208,0.50807,2.1526
434,1043.2,8.6868,-7.6315,3.514,0.50357,2.1492
435,1041.6,8.6716,-7.6185,3.5073,0.49909,2.1459
436,1039.9,8.6564,-7.6055,3.5006,0.49461,2.1425
437,1038.3,8.6412,-7.5925,3.4939,0.49015,2.1392
438,1036.7,8.626,-7.5795,3.4872,0.48569,2.1359
439,1035,8.6109,-7.5666,3.4805,0.48125,2.1326
440,1033.4,8.5958,-7.5537,3.4739,0.47681,2.1293
441,1031.8,8.5807,-7.5408,3.4673,0.47239,2.126
442,1030.2,8.5657,-7.528,3.4606,0.46797,2.1227
443,1028.6,8.5507,-7.5152,3.454,0.46357,2.1194
444,1027,8.5358,-7.5024,3.4475,0.45917,2.1162
445,1025.4,8.5209,-7.4896,3.4409,0.45478,2.1129
446,1023.8,8.506,-7.4769,3.4343,0.4504,2.1096
447,1022.2,8.4912,-7.4642,3.4278,0.44604,2.1064
448,1020.6,8.4764,-7.4515,3.4213,0.44168,2.1032
449,1019.1,8.4616,-7.4389,3.4147,0.43733,2.0999
